Audi;A6;tumeroheline;esivedu;manuaal;05/1998;bensiin;2.8 (142 kW);225 000 km ·;1900 EUR;1600 EUR;https://www.auto24.ee/used/3291531
Audi;A6;tumeroheline;nelikvedu;automaat;1996;bensiin;2.8 V6 (128 kW);450 000 km;1600 EUR;;https://www.auto24.ee/used/3360838
Audi;A4;must;esivedu;automaat;02/2003;diisel;2.5 V6 (120 kW);283 000 km;2000 EUR;1650 EUR;https://www.auto24.ee/used/3361180
Audi;A4;must met.;nelikvedu;manuaal;10/1998;bensiin;1.8 Turbo (110 kW);331 600 km;2000 EUR;1650 EUR;https://www.auto24.ee/used/3358542
Audi;A6;tumesinine;nelikvedu;manuaal;01/1999;bensiin;2.8 (142 kW);325 000 km;1650 EUR;;https://www.auto24.ee/used/3334007
Audi;A6;tumesinine met.;esivedu;manuaal;04/2001;bensiin;1.8 (110 kW);267 000 km;1660 EUR;;https://www.auto24.ee/used/3346139
Audi;A4;hall met.;esivedu;manuaal;06/2003;bensiin;1.6 (75 kW);163 000 km;1699 EUR;;https://www.auto24.ee/used/3360019
Audi;A6;must;esivedu;automaat;10/2001;bensiin;2.4 (125 kW);280 000 km;2500 EUR;1699 EUR;https://www.auto24.ee/used/3319450
Audi;A8;pruun;nelikvedu;automaat;09/1999;diisel;2.5 TDI (110 kW);316 000 km;1699 EUR;;https://www.auto24.ee/used/3361571
Audi;A6;hall;esivedu;automaat;2001;bensiin;2.4 (121 kW);333 165 km ·;1700 EUR;;https://www.auto24.ee/used/3340716
